Name;Phone;Email
Dvojchalupa Slunečnice (17311);608211820;
Horské apartmány Borůvka a Brusinka (14332);777163546 | 777758623;
Glamping Slapy (18443);731535795 | 728785000;
LIPTOVSKÁ DREVENICA (2552);+421918389585;
Horská chata - Skiareál Turek (7749);777236215;
Privát Kučera (3862);604855680;
Selský Dvůr (4013);604471323;
Mlýn u splavu Dyje (1669);777197151;
Ubytování v soukromí na Sadové 906 (15124);724355633;
Chalupa U Kroniků (1806);602216236;
Podhorní chalupa (7319);605108739;
Apartmány U Jana (11819);721937563;
Třináctka (6594);732141599 | 603589751;
Chaty Karolina (1820);;
Pension Fanlor (10905);606399063;
Apartmány Josefáč se saunou (15120);776215577;
Třeštický mlýn (3494);777014947;
Dvojchalupa na Valašsku (1935);731172418;
Apartmány (7936);+421948524553;
Privát Folprechtovi (246);420606465400 | 420720451462;
Chalupa Dajan (5025);734125668 | 734123470;
Apartmány CHANELITA (13183);+420601389418;
Stará Hračkárna (8829);725887091;
Challupa (3478);+420721678757;
Pension Bílý Hořec (2245);773449996 | 777146862;
Ubytování Lipový květ (9516);+420606103039;
Elval resort (11677);777656327;
Smart Home Tatry (3722);+421952180955;
Apartmány Červený Dvůr (621);+420723845945;
Apartmány Bedřichov (9631);605587894;
Domeček pod Petřínem (985);737284444 | 603255441;
Chalupa a apartmány LOJKA (638);+420724350365;
Farma Vyšehrad (9484);602781488;
Ubytování Relax, ubytování v soukromí, dům na pronájem (5150);777900749 | 774707964;
Apartmán U Zátoky (16440);+420731101833 | +420775958926;
Chata Sokolská (12115);775029769 | 731477142;
Apartmány Pod Kozákem (13041);+420776100748 | +420777496333;
Ubytování U Šťastných (6976);728931595;
Ubytování na Statku (9115);602555595;
Apartmán U starého presu (9271);702136662;
Apartmány u Medků Šumava (2306);606526734;
U Mlejna (13499);735190190;
Jitřenka (11976);+420602750215;
Apartmány Abele Nová Hůrka - Prášily (953);608248339;
Apartmány nora (18973);+420728183036;
Ubytování u Vaců (1030);602104443 | 602218844;
APARTMÁN (6713);737972758;
Ubytování u Skřivánků (3747);723938407;
Apartmány Pod Stožcem (5124);+420604321921;
Resort Kadleců - Apartmány (4979);602465572;
Apartmány Laka (343);603884479;
Resort Kadlecu - Chalupa Jiřík (9509);602465572;
Wellness roubenka u lesa (15427);+420606462894;
Chata Mečová (1135);571645309 | 777200157;
Chalupa u Pražmů (8637);604526749;
Fara Jítrava (3241);732716992;
Wellness Chata u Pinkasů (11335);605822249 | 776285440;
Glamping Vyhlídka (16455);+420774279650 | +420776708183;
Apartmány nad sklípkem (2634);725724982 | 774241009;
Penzion Holinka (6333);606113323;
Penzion (1467);730610029;
Turistická chata Chopok (7785);+421915654008;
Chalupa Rzehaczek (5883);608814431 | 774891997;
Penzion Na Dobšíně (8251);604428988;
Samota Hojšín (3236);737628529;
U Anděla (12858);603828913 | 737346110;
Chalupa Bukovka (1029);603180041;
Chalupa Harrachov 156 (11292);777988724 | 728419676;
Apartmány Stachy (5242);732425733;
Apartmány Filipov (8767);778028503;
Apartmány Antonínov (11278);777008610 | 603100390;
Chalupa Trosenka, pod hradem Trosky (7112);605155795;
U Salajků (18888);603583085;
Pension Jana - wellness (10603);777113399;
Chata Biela Stopa (19301);+421901911211;
Penzion MERUŇKA (14367);+420606720715;
Chalupa Na Špici (1463);737999310 | 739274167;
Penzion Keramika (11342);602476331;
Apartmá Na Lipně (13403);+420602314334 | +420723766599;
Chalupa U Krále (11438);+420777072548;
VinAp - ubytování s vinným sklípkem (1295);774929429;
Apartmány Rozálie (21265);732462512 | 777340165;
Chata pod Kapličkou (4947);607693620;
Pronájem chalupy (9328);731066991;
Chalupa Kadeřávek (6099);605853307 | 566562839;
Roubenka na Rovince (1188);776898277 | 603425145;
Statek U Medvěda (878);777788799 | 777788798;
Chata Orion (1565);773783770;
Apartmány SKALA (11270);602462562 | 602483783;
Pohoda u Lipna (14300);724248227;
Penzion St. Leonhard (2071);602973107 | 607441523;
Samostatné apartmány v Českém ráji (3819);602212788;
Chata U Přehrady (7864);722051942;
Prázdninový dům FOREST (454);735178486;
Penzion Annemarie (1462);773114064 | 607781972;
Apartmány Ořechovka Wellness (18872);+420702123404 | +420720365522;
Motýlí chalupa v blízkosti Ještědu (4036);+420773000857;
Apartmány Orlice (11119);739680525 | 602782888;
Apartmány pod Mariánskými schody (4660);722505596;
Chalupy Na Smrčku (10663);606661700;
Chalupa Sihelné (4720);728520800;
Chalupa Pod Smrčinou (3574);777173031 | 777283345;
Chalupa - Apartmány Bukovec s Bazénem (3446);737853659;
Ubytování U Bělíků (14357);604520117;
Wellness apartmán Puštík (15451);+420736648611;
Chata U Biziho (7320);732712115;
Riegerova bouda (13890);739500516 | 725352282;
Apartmány Lužnice (12758);736776781;
Ubytování v ráji (3859);;
Ubytování Včelka - Novohradské hory (19337);+420723447705;
Tradiční třeboňský statek u Šafářů (9780);721843679;
Penzion (7814);608962323;
Horský apartmán Almberg (3152);603752209;
Apartmánový dům (6106);602845293;
Apartmány U Zlaté stoky (255);+420608747575;
Ubytování v soukromí Blažejovi (10834);+420724986343;
Království Beskyd (1939);776232396;
Stará Škola Hedeč (6452);733644464;
Chalupa k pronájmu - cykloráj (6802);721603224;
Beskýdek I (5121);777141199 | 777141166;
Chalupa Vrátno 16 (13181);603766750 | 603917009;
2W apartment Lipno (18407);777754768;
Chalupa Andělka (525);773170172;
Apartmány Třebušín (4210);607126041;
Apartmánový dům Pasťák (3027);777784300;
Chalupa (4195);608608677;
Kůlna u Pálavy (5573);604236472;
Apartmány u Dlouhána (3864);775853730;
Wellness dům Sudoměřice (15042);731118899;
Apartmány u Zdeničky (7886);776757207;
Apartmány Gambit (5601);777314111;
Chalupa U Ťukalů (5365);737847877 | 731037694;
Stará ovčárna (12556);+420775346991;
Apartmány Růžová (19743);602672711;
Maxovo království Český ráj (5716);+420737936993 | +420604207439;
Bonites - apartmán Lipno (14716);725384907;
Chalupa pod Bozkovem (12703);605307236;
Apartmán Opárno (6301);603590167;
Kašperskohorský Ofir (7632);+420725781953 | +420604830199;
Apartmány Na Staré poště (7217);606655000;
Chata Severka s Wellness (1894);605213901;
Apartmány pod Pustevnami (11897);774777927;
V lese (10301);606730189;
Penzion Bellet (7124);728573796;
Vinný sklep Kovárna (1562);518129638 | 721732563;
Apartmány Fišerka (9924);603895429;
Apartmán (11933);734482938 | 777929611;
Penzion Kopretina (1438);;
Ubytování Slezská Harta (17309);775358888;
Ubytování Eret Pernink (6249);721913050;
Apartmány Trnov (8379);775664122;
Horské apartmány U Lesa (12144);777190809;
Chalupa České Petrovice (9385);775119729 | 777693917;
Hogo Fogo chaty (15755);774618922 | 723435803;
Apartmány U LESA (1752);602103337;
Apartmány (13681);774331676;
Statek Blatiny (10888);775913929 | 775613929;
Ubytování Pod Jilmem (6989);773907038;
Apartmán RuR (17880);725888588;
Penzion Blažejovský mlýn (15616);+420603804919 | +420603804901;
Pronájem chalupy (3048);+420778063527;
Vila Rybníček (11894);608333538 | 724359868;
Chalupa Pod Šerovnou (17774);722944663;
Spolský dvůr (17092);602654365;
Chata Skořička (10567);773227835;
Horská vila Meluzína (14190);+420602247801;
Apartmány Stráň (21656);603773034 | 603255350;
Penzion Pod Chřiby (9319);775780017;
U babičky - Rakvice (14341);723149368;
Božská usedlost (14393);724312536 | 777566284;
Penzion u Hudečků (19020);606752845;
Sklep u Václavíků (12325);606739292 | 602536346;
Chalupa CHLÍVCE u Adršpašských skal (7701);606337493;
Vila Antik (15195);+420731635153 | +420739471154;
Oblaka ubytování Třeboň (14206);+420724352399;
Chatky Máchovo jezero (10989);606790022 | 604591239;
Na samotě u lesa (16982);608905550 | 777905550;
Samostatný apartmán pod Rejvízem (6357);603772345 | 737583307;
Chata Hofman (8440);725016066 | 603570236;
Penzion Diana (21695);605248040;
Chalupa u Pažourků (1197);724514420;
Chata Borůvka (5331);725781332;
Apartmán Nový Svět 3 (14543);733184688 | 733644244;
Apartmány Zelený Jelen (14532);720110217 | 731469188;
Family house (4252);608473150;
Apartmán Záskalí (14964);604472051;
Horská chata Hugo (2933);775155676;
Apartmány 29 (10891);775672213 | 775671485;
Ubytování Bohemia (2517);776062340 | 703659238;
Chata Maruška (409);776621192;
Apartmány Pěkná na Šumavě (4303);+420602356532;
Apartmán Morajda (7429);603259604;
Penzion Na Vyhlídce (1448);;
Annínská chalupa (16918);+420704077020;
Apartmány Říčky (4972);739130375;
Chalupa Daisy Posázaví (11317);776563502 | 602728228;
Pastvinka (5789);+420605235487;
Pronájem chalupy (8619);777636216 | 608257483;
Fantastic (728);+420778778180;
Chalupa Pod Šerovnou (14450);722944663;
Penzion Chlustov (7747);602122078 | 602458343;
Apartments & Wellness Medusa (19165);+420737181055;
Chata Tones - Podlesí (6317);603153875 | 777925892;
Penzion Pohoda (22118);+421911821493;
Apartmány Herta (4542);499874253 | 603494292;
Chalupy pod Pyšnou loukou (2079);739991680 | 739115099;
Apartmán Teri (9888);+421907371527;
Apartmány Libuň (515);607875870;
Apartmány Penzion Beskyd (9718);732358991 | 725242628;
Chata Gabriela (1503);776787488 | 602420339;
Dům U Tří kočiček (14820);725821510;
Wellness Apartmán Leqwell (16981);778572471 | 734899183;
Apartmány Pod sjezdovkou (6810);+420728479379;
Chalupa na samotě u lesa (2389);776184414 | 608348593;
Apartmány na statku (4405);777211400;
Dům na Slapech (13024);602275471;
Bamboo Rooms Štúrovo (19153);+421911868986;
U Pytlákovy Evičky (18462);603169773;
Kemp u Hedviky (19277);775983170;
Apartmán v Albánii u moře (2267);605278293;
Chalupa AKANT ART (8482);724008601 | 601126541;
Chata Bukovka (11571);+420731539002;
Apartmán u Šporkova mlýna (15980);+420777876095 | +420732742321;
Penzion Přívoz (905);603802171 | 775902171;
Apartmány Kratochvílová (5188);722672220;
Na Kamenném schodě (7428);605262717 | 732444596;
Apartmány u mlýna (13118);724283211;
Domeček+Apartmán (8810);776019079 | 491482452;
Apartmán Pajrovna (14217);604451815;
Horský penzion Čepice (i pro skupiny) (13622);773499220 | 724553110;
Trampská bouda (21507);603491124;
Vinný sklep (3106);731118899;
DOM Mokrá - Dále od města (7897);721363172;
Chalupa na Koskách (6591);+420607551489;
Chalupa/apartmány Mateřídouška (1849);607111996 | 724444860;
Pension Euro 2000 (19213);739882499;
Penzion U Hanušů (2482);731953300;
Penzion Planiska (7618);608722276;
Apartmány Šumava (14582);602128520;
Penzion Na rybníčku (13386);604618409;
Apartmány u Michala (9846);+420773112287;
Pohádka na venkově (2611);737288888 | 734131813;
TOP Apartmán Novohradské hory (13391);602253128;
Penzion U Hráze Luhačovice (8711);731117943;
Chalupa Schraml (6949);+420737177256;
Apartmán k pronájmu Slapy (15276);602275471;
Chalupa Slunovrat (2701);602116939;
Chalupa Mona (6953);723832301;
Apartmán Lipno 40 (6478);+420607040511;
Apartmány pod Prašivou (7753);722657170 | 728417968;
Lesní vila (4728);777633046;
Vila EVIO s vířivým bazénem a saunou (8911);606507504 | 602403453;
Ořechový dvůr (3827);777712571;
Chalupa Milovy (14244);777771589;
Apartmány Vysoká Lípa 121 (14472);420604952319 | 420728431804;
Apartmány Pod Čápy (12940);+420722920999 | +420724531160;
Penzion Hastrman (6597);604480662 | 724754182;
Apartmány Lucie v Českém ráji (8882);774832213;
Roubenka Svitávka (8981);+420602852856;
Apartmány Prima Nova Lake (12001);777844002;
Ke třem pramenům (11129);602444876;
Chalupa Rozárka (18682);+420608300152 | +420777868822;
U Floriána (9044);604800515 | 605454390;
Rezidence Gočár (17354);704337331;
Luxury Wellness Apartment (5925);777805053;
Chata Plešivka (2397);777832838 | 606589786;
Apartmány a Chalúpka Jánošíkove diery (10629);+421905324428 | +421944273613;
Apartmán na kopci u lesa (22111);777706986;
Ubytování na statku nedaleko Ratibořic (10954);605591119 | 737829371;
Penzion U Lesíka (10434);604183959 | 603787290;
Apartmány Almberg (1140);+420608747575;
Barabizna (14931);602807740;
Apartmány Pod Kopcem (16454);+420605211334 | 774480840;
Apartmány Chaloupka (990);+420777300088;
Apartmány Vydrýsek (3668);604949401;
Statek Hájek (11746);608334224;
Chalupa Sedmikráska (7467);608211820;
Apartmán u Michala (13062);777806597;
Chalupa Adlerka (8);731552334 | 724939614;
Royal Garden Apartmets *** (16045);602587658;
Apartmány Nezábudka (21793);+421908214408 | +421949183482;
Resort Kadleců - Chalupa Míša (4596);602465572;
Apartmán U Labe (7970);773222668;
Apartmán Jarmila (22054);+420606093787;
Bytovka1962 (19569);+420602388388;
Šumavská chata (6420);608978296;
Chalupa U sv. Josefa (4313);494322455 | 603236026;
Apartmány Lešovice (18880);+420603373034;
Penzion Borůvka (16023);777186984;
Statek (8030);775029769 | 731477142;
Chata Lyžař (526);773170172;
Apartmány Hejna (11917);+420602255962 | +420728870426;
Apartmány Maxov (3879);777612367;
Ubytování v soukromí Harmonie (4380);736776044;
Penzion Ostružník (3749);777210210;
Paradise 1 (6929);602451834;
Penzion Rožmberk (1422);734620617;
Chalet Sedmihoří (17012);721361375;
Chalupa na Kubáňce (2320);604576853 | 603498739;
Chalet One - Apartmán Spa (21165);721001122;
Apartmán U Špidlenů (14013);777200855 | 777200844;
Apartmány U Hastrmana (6435);603546143;
Apartmán pod Plešivcem (10073);+420721136466;
Apartmán u Plešnýho jezera (7829);731530379;
Apartmán Slezská Harta (12664);+420603729010;
Chata U Vleku (5586);606217365;
Penzion Apartmány Aldrov (3783);728538489;
Penzion Stařa (12228);+420603846368;
Měšťanský dům - kulturní památka (14351);777610931;
Pension 444 skiareál Herlíkovice Bubákov (18017);733662277;
Apartmány U Medvěda (16085);+420774944484;
Penzion Nivy (4709);774433335;
Ubytování na hrázi (3422);603294796 | 603333613;
Penzion Jaro - Brdy (14637);608031400;
PRIM Apartmány (8618);720520670;
Motýlí chalupa v blízkosti Ještědu (5112);+420773000857;
Apartmány Na Faře & Stodola Na Bílé (4963);725222113;
Resort LUFT (16622);724933852 | 608137160;
Kamenný mlýn (12129);777752093 | 775074538;
Apartmány Lucie (5969);721770367 | 775168147;
Apartmány Na Vyhlídce (16434);601126253 | 775690627;
Penzion U Rybníčku ** (6992);607055477 | 602745174;
Chata Dáša (2915);777940711;
Penzion Romance (8309);777610931;
Penzion U zámeckého parku (4347);727935015;
Vila Chutnovka (1626);608962323;
Kemp Sluníčko (12156);737935777;
Apartmány Ktová (14516);+420777943628 | +420724885875;
Roubenka pod Troskami (16384);727894734;
Chata u rybáře (6543);777157768;
Apartmány a bungalovy EDER (6901);602664620;
Krásná Samota (15729);+420603482096;
Vinařství Maixner (9600);602168147 | 777346242;
WELLNESS APARTMÁNY ANDREA (5101);775150229;
Ubytování u Křiváků (6410);607680005;
Apartmány Pod Kalousy (14967);+420608962024;
Bouda Šestidomí (11343);774276237;
Na dohled (17357);731524710;
Domus Cobile (19175);720052816;
Apartmán u Vysočina Arény (3235);605400664;
Apartmán U pekárny (12225);737827508;
Apartmán u Adelky (843);737863135;
Alegria Natur Apartments (5991);+420602547770;
U Bukovského rybníka (3615);602342948;
Ubytování u Sedláčků (1412);481582913 | 732400617;
Pension Maruška (7077);+420737983154 | +420737033214;
Apartmány u vleku (15777);605398308;
Apartmán Doma na Lipně (17865);774660930;
Chalupa Bzové (4046);731408207;
Apartmán Benecko s možností wellness (1386);733739859;
Bydlinská zahrádka (2904);+420603445687;
Apartmány Alena (21102);+420739491949;
Apartmán U Šáfy, Krkonoše (9048);724578254;
Penzion V Zátiší (12057);602456310;
Lumpovna - wellness apartmán (21258);604242025;
Dvouložnicový apartmán Sluníčko (18824);739580371 | 602274002;
Ubytování u Mračků (15863);776086007 | 720295726;
Pronájem apartmánu (3274);+420605862512;
Apartmány Ruprechtov (1661);723763493 | 602100964;
Apartmán Fleja (11044);739315928 | 774337393;
Dům U ospalého heligónu (1024);777071719 | 608961866;
Centrum Oáza (3425);774760741;
Hánův mlýn (240);608602482;
Centrum Červeněves (18815);735729038;
Ski&Bike Apartmán Nicol (17513);+420605293374;
Chalupa k pronájmu (2855);773795010;
Chalupa u Jirky (3000);;
Apartmány Beseda (21564);737248420;
Chaty na břehu Lipna (4150);773621365;
Lesní chalupa Brdy (2 apartmány) (16751);+420604327061;
Penzion Fialka (202);724057377 | 602740203;
Roubenka Dřevíkov - Veselý Kopec (8931);777277848;
Chlum 5 (19431);724252213;
Apartmán Abertamská chata (10279);777280931 | 776566007;
U Macháčků Lipno (4850);604271533;
Apartmán 101 (17517);604285294;
Apartmán U potoka (21453);602600024 | 733610253;
Apartmán k pronájmu (3367);604113204;
Ubytování Rusnioková (1708);608025323;
Apartmán (6902);605171232 | 732102524;
Apartmán 48 (6472);+420607173010 | +420773488848;
Apartmán U Merčáků (5088);+420728039220;
Apartmán U pisáku (8395);;
Apartmány U Srdce Vltavy (18035);773452585 | 728917362;
Samota u lesa (4540);739356087;
Apartmán Pod sjezdovkami (14355);777163639;
Útulný apartmán (16295);724021016;
Apartmány na Žlábku (10966);736239335;
Chata U Staré Lípy (8811);775073029;
Apartmán Pod Sněžníkem (13671);777727554;
Pohodový apartmán s kuchyní a balkónem (21257);724339988;
Chalupa v Údolí (3937);728680276;
Chalupa k pronájmu (1133);736251772;
Chata Remedy (16526);775376106 | 602430021;
Apartmán u Skiareálu (11294);703147617;
#Apt23 - Apartmán 23 - Novohradské hory (19008);774095800;
Pohodička pod Verpánem (18653);+420775557572;
Penzion Red Pine (937);732558808;
Apartmán 2+1 Orlické hory (21556);777962127;
Apartmán Claudia (17848);731602500;
Roubenka Pod Čapím vrchem (10209);+420739631285;
Chalupa TADY a TEĎ (17696);734700195;
Apartmány Patriot (11650);737823433 | 733631925;
Privát Štrba Mária Kičáková (14301);+421904686117;
Vila Věrka (15597);739286806;
Chalupa v JIžních Čechách (2066);737161927;
Dream Apt (15533);723403750;
Vila Tanvald s wellness (17818);773723483;
Apartmán Šumavský skřítek (8806);728219442;
Chalupa Tylda (5335);776223553;
APARTMÁN JAROŠOV (5202);+420603104895;
BALADA (2441);608246808;
Apartmán Hutisko (15463);602543535;
Chata Labaika (3977);+420723847448 | +420606680780;
Chata na Vyhlídce (7945);734866915;
Apartmán Žižka (18765);733184166;
Penzion U sv. Jana - Kraselovský Dvůr (10531);602253163;
Apartmán Vendelínka (14887);777033080;
Apartmány Marie (11841);+420739213085;
Apartmán U Lípy (21841);732913721;
Chata Štěpánka Vranov (19362);728652043 | 606718313;
Chalupa a apartmán Černý Důl 97 (904);608107577;
