Name;Phone;Email
Odpočinek V srdci Českého Ráje (2630);604853181;
Chaloupka v Lesném (14119);725338750;
Roubená chata Dřevěnka (5725);+420606754413 | +420603448489;
Roubenka Jílové (542);608561223;
Medvědí chata pod Lysou horou (12944);608885113;
Horská chata - Skiareál Turek (7749);777236215;
Pronájem srubu (11224);773770010;
Pronájem chalupy (6104);777006006;
Roubenka na Páleném (4842);731464678;
Roubenky vedle sebe (1259);773042211;
Apartmány U Jana (11819);721937563;
Roubenky U veverky (12464);777824274;
GOLD VALLEY - stylový domeček v malebném údolí (9218);604574066;
Roubenka Pod skálou (1915);602390336;
Srub Karolínka (3155);777583580 | 776008489;
Roubenka Vysočina (7686);777553503 | 608405876;
Roubenky Annaberg (4680);777121043;
Roubenka Janka a Natálka (3569);605785556;
Wellness srub (922);732541705 | 608963678;
Chata Karpatia 4 (10111);+421918325096;
Roubenka (6931);724188688;
Chaloupka Sedmička (2504);607535961;
Chalupa U Kubrta (2936);777349789;
Relax Slapy resort (17462);733556595;
Roubenka u Macků (169);732180011;
Roubenka na vršku (973);777838923 | 608321545;
Zrub Liliana (15009);+421948940027;
Roubenka (1089);608608677 | 491005805;
Roubenka Kavánka (9179);+420725405323;
Srub v zahradě (2853);776811212;
Roubenka (3001);608878915;
Roubenka (333);608027906;
Roubenky Slunný vrch (4049);777332040;
Roubenka a chata u potoka (12435);606462894;
Roubenka Na Stopě (16348);41799689006;
Roubenka Maruška a Růženka (1081);732711097 | 731165970;
Roubenka (6203);608878915;
Chalupa Jonáš (4146);604300031 | 777769494;
Chalet TRIXY (21104);+421907769753;
Kabikula - Ještěd (63);604214510;
Roubenka Doubice (9645);732536112 | 603800677;
Wellness roubenka u lesa (15427);+420606462894;
Roubenka pod Klepáčem (477);607155248 | 602565042;
Chalupa Majolenka (13766);602164607;
Chalupa Dědina (8098);+420603893467;
Chata Klárka (11500);725299742;
Hájenka Ovesná (2311);608954051;
Chalupa Lenička (7962);606620345;
Chalupa 33 (1443);774555062 | 777003109;
Svatá Panna (3549);607983983;
Chalupa u Břízek (13951);603740878;
Ajova chaloupka (17429);606384145;
ROUBENKA U LESA u Máchova jezera (4566);776111177;
Chalupa Pustá (170);605941293;
Chalupa U Vincků (861);702063223;
Pohádková chaloupka (6028);603483236;
Roubenka Alžběta (3042);+420601592177;
Chalupa k pronájmu (3746);604543002;
Roubenka Rejmanka (8135);604618875 | 603501261;
Roubenka na kopci (10368);+420770667398;
SRUB Machov – samota, klid, bez lidí, v lese (2556);608821201 | 724452964;
Pohádkový srub u ZEDA (4802);602774173 | 606715797;
Malá Roubenka Doubice (13773);+420732536112 | +420603800677;
Chalupa pod Radhoštěm (1074);777726326;
Na Baštově (6361);602258453;
Drevenice Pod Rozsutcom (16873);+421905585001;
Wellness roubenka (6474);725851468;
Roubenka nad řekou (9528);723671341;
Roubenka Háj (6456);721046446 | 728979036;
Roubenka na Rovince (1188);776898277 | 603425145;
Pronájem chaty (7554);777733033;
Velká roubenka (15501);731210568 | 733113229;
Chata Orion (1565);773783770;
Roubenka u sjezdovky (14325);608442552;
Chalupa Sedmé nebe (10560);602640444 | 606733855;
Wellness srub (18139);731571770;
Pronájem chalupy (5089);;
Statek Humenec (11597);725951239;
Chalupa u Studánky (1701);+420724853116;
Roubenka Orlice (17467);739680525;
Chalupa U Hřebíků (9634);603470254;
Chaloupka na vršku (14650);777941887;
Chalupa na konci světa (7838);777847089;
Chalupa Čenkovka (8346);774458128 | 776038128;
Chaloupka pod dubem (2828);775036065;
Roubenka Pastvina - welness chalupa (17121);724511159 | 773598940;
Roubenka 44 (6675);608880859;
Wellness Roubenka Elenka (16414);724621154;
Welness Roubenka Křižánky - All inclusive (13547);733499788;
Roubenka u Jakuba (9620);724331290;
Roubenka Přebuz (11074);724080861;
Roubenka pod lesem (7192);604439370;
Chata Lojzovy Paseky (3332);775108542;
Srub k pronájmu (281);602564033;
Chalupa na Kovárně (2169);+420739064672;
Chalupa Doubice (4030);732536112 | 603800677;
SRUB (9796);605002448 | 777689412;
Srub Pod Lípou (15511);775722300 | 775722310;
Srub PEDLA (5052);774232131 | 776723750;
Roubenka (17661);724276817;
Harrachovská chalupa Pelíšek (671);602220868 | 602315641;
Luxusný zrub (4565);+421948414753;
Roubenka Kamennka (14461);+420603275675;
Chalupa k pronájmu (3671);775214919;
Roubenka Pod Skalkami (13105);604233332;
Roubenka (41);606716849 | 605259122;
Roubenka Branná (11603);777313080;
Pronájem Srubu (9747);602313581 | 777018810;
Roubenka U hrochů (11331);775206897;
Chalupa Na louce (1361);776578486;
Chata k pronájmu (4691);777804801 | 777980746;
Chalupa Jeseníky (4081);607750134 | 736481121;
Drevenica Natálka (8370);+421903654166 | +421903868489;
Roubenka Lucie (3073);777004684;
Relaxclub Kersko (177);775034605;
Kanadský srub v zahradě (4898);776811212;
Roubenka (15503);602248348;
Malá roubenka (15502);731210568 | 733113229;
Chalupa k pronájmu (9315);731530043;
Bungalovy Jasná (10305);+421903800124;
Srub v Novohradskych horach-Hartunkov II (809);721805646;
Roubenka na Jelení Hoře (16511);734222299;
Chalupa u Kamnáře (11314);723078878;
Chalupa Duše (15034);734500354;
SAMSARA (5436);777309070;
Drevenice TriMount (2603);+421919313799;
Chalupa u Kopečků (9752);775162916;
Ubytování Bohemia (2517);776062340 | 703659238;
Chalupa Loveč (18098);+420725504123;
Roubenka Anna (2190);+420602149513;
Roubenka Na Hrádku (8046);721213230;
Roubenka (9496);724585685;
Pod Metodkou (14733);736240092;
Roubenka u Lišky (1244);604674198;
Roubenka u cyklistky (21781);732765016;
Zrub nad Krpáčovom (21596);+421905245001 | +421908395807;
Srub Slávek (10253);734542889 | 604368761;
Roubenka pod hradem Kokořín (19310);602423011;
Roubenka Bobešovka (13668);604263843;
Roubenka Lužany (8628);605700819;
Roubenka pod Kyčerou (7997);734418136 | 777888951;
Roubenka pod Eliškou (11517);775305140;
Chalupa na Vyhlídce (17342);605078369;
Pronájem chalupy (494);736289387 | 732307005;
