Name;Phone;Email
Apartmany Tunka Zdeněk;+420777312031;tunka.zdenek@seznam.cz
Chata Pod horama;+420724721705;josef.fojtek@volny.cz
Chata Bucharka;+420702125945;info@bucharka.cz
rekreační chata v Podhradí nad Dyjí;+420568451540;podhradi.rekreace@centrum.cz
U nás v Kocourkově;+420584421464;strechova@hotmail.com
Vodní Ráj;+420384392389;irena@strmilov.cz
Chalupa pod hradem Valdštejn - TURNOV;+420481324281;chalupa.valdstejn@centrum.cz
Chata sauna Polnička;+420777665542;ladakabrda@email.cz
Chalupa U Josefů;+420602458326;voldrich@ujosefu.eu
Javorka - horská chata;+420608050618;chata.javorka@seznam.cz
Chata Pohoda;+420602242601;petran7@centrum.cz
Chata Kvítek;+420602242601;petran7@centrum.cz
Chata v Mladostově;+420602892594;zdeale@centrum.cz
Chaty - Březiny;+420777744212;chaty-breziny@atlas.cz
Horská chata Pstruhovka;+420777330383;ubytovani@pstruhovka.cz
Chaty Renata a Květa;+420481120436;info@chata-sychrov.cz
Chata Betsy;+420604235774;chatabetsy@yahoo.com
Pension- Twins;+420774829712;radekluk@seznam.cz
Horská chata XL;+420604940377;xl@inkuc.net
Horská chata Vitiška;+420417878015;vitiska@email.cz
Horská chata BAČKÁRKA;+420414364157;info@backarka.eu
Chata Lyžař;+420773170172;ca.unas@seznam.cz
Apartmány u loupežnika Osoblahy- HOTZENPLOTZE;+420554656030;hotzenplotz@seznam.cz
Chalupa Dolní Morava, sauna, internet, Jeseníky ubytování Orlické hory;+420603243650;info@chalupa-dolni-morava.cz
Rekreace Bohemia;+420720292889;rekreace.bohemia@seznam.cz
Dlouhá tráva;+420222956576;dlouhatrava@email.cz
Horská chata turistická ubytovna;+420572646902;chatalopata@ic.cz
CHATA BOHEMIKA;+420225166123;nikola@la-boheme.cz
Horský hotel Permoník;+420739414853;permonik@hotelpermonik.com
Kemp Luhy - Milavy;+420606624696;kemp.luhy-milavy@email.cz
Chatové apartmány Lipno - Horní Planá;+420608979353;chataplana@seznam.cz
Chata Včelín;+420732283043;jana@dlnk.cz
Horská chata Vejpálka - levné ubytování v Krkonoších;+420776284995;taitlovakaterina@seznam.cz
Pronájem chaty - Luleč;+420602811165;chata.lulec@seznam.cz
Chata Děpoltovice;+420602294276;p.vlasaty@volny.cz
Chata Flora;+420604606895;havrankova.jitka@tiscali.cz
Chata 69;+420774999254;petr.glaser@seznam.cz
CHATA VALTICE;+420608972862;svejdajosef@centrum.cz
Mariánská 81;+420602391494;pafsro@seznam.cz
Chata Golf;+420725293310;radkavancova@seznam.cz
Chatová osada U lesa;+420603238055;info@chatyvranov.cz
Chata u Císaře - Komorník;+420384320189;ubytujse@seznam.cz
Apartmán Dalečín;+420602757228;i.doleza@email.cz
Horská chata Mikuláška;+420602287195;mikulaska.ceskehory@seznam.cz
Pod kostelem;+420605148824;pod.kostelem@volny.cz
Turistická chata Duha;+420545214430;duha@vodak-sport.cz
Horská chata Nové Město;+420417878026;vitiska@email.cz
Chata Pod kapličkou;+420607693620;chatapodkaplickou8@volny.cz
Chata Na Rozcestí;+420602286202;ubytovani@chatanarozcesti.cz
U Faflíka;+420603226401;vlkov@vlkov.tv
Chalupa Adla;+420773096144;77mivi@seznam.cz
Ubytování v soukromí U Pily, Kvilda 45;+420607536813;j.orsagova@tiscali.cz
Horská chata Jitřenka;+420353892406;mirakam@seznam.cz
Chata v Českém ráji;+420777163333;jaroslav521@seznam.cz
Chata Archa;+420730165090;chata.archa@centrum.cz
Chata Školačka;+420603142023;chata.skolacka@seznam.cz
Ubytování JIžní Čechy, Třeboňsko, Vlkov nad Lužnicí U Pávka;+420603226401;ubytovani_vlkov_nad_luznici@pavek.cz
Kemp Horní Bečva;+420776719649;kemphb@seznam.cz
Chata u Nováčka;+420603479145;chata.novacek@quick.cz
Chata v Nové Bystřici - Česká Kanada;+420723041442;andreajan@centrum.cz
U Pašáka;+420775098694;penzionupasaka@seznam.cz
chata Blaženka - sportovní areál Špičák-Železná Ruda;+420376397167;ubytovani@spicak.cz
CHATA SVOJANOV;+420775077032;radomir.jelinek@tiscali.cz
Chata Lipno - Posudov;+420774362873;info@lipno-chata.eu
Horská chata Jindřichův Dům;+420605365877;jindrichuvdum@jindrichuvdum.cz
Stylová horská chalupa U Kožešníků;+420777702388;jiri.kozesnik@seznam.cz
Roubenka **** novostavba Jílové u Držkova v podkrkonoší;+420608561223;info@roubenka-jilove.cz
Chata na úpatí Krkonoš;+420774272942;daniela.vaverkova@centrum.cz
Srub Karolínka;+420777583580;hanisovaolga@seznam.cz
Chata pod Loučkou - ubytování Horní Lomná, Beskydy;+420602722120;info@chatapodlouckou.cz
Chata Klára;+420731138532;chata.klara@gmail.com
ROUBENKA;+420605941293;mackovamarta@seznam.cz
