Name;Phone;Email
Chatová osada Slunečnice;+420602287757;eva.russova@seznam.cz
Penzion a autokemp WOLF , Rozkoš -Ratibořice- Česká Skalice;+420737245323;ubytovani@penzionwolf.cz
AUTOKEMP Bečov nad Teplou;+420312684196;u-novaku@volny.cz
Autocamp Free Star;+420776230887;autocamp@freestar.cz
AUTOKEMP CHABAŘOVICE;+420602729329;autokemp-chabarovice@seznam.cz
Pension & Camping Český ráj;+420776303889;info@pensionkneznice.cz
Hotel Formule **;+420412548445;info@hotelformule.cz
Autokemp Přehrada Mostkovice;+420602432310;atc@mostkovice.cz
Jáňův dvůr;+420530506405;januvdvur@seznam.cz
Kemp Luhy - Milavy;+420606624696;kemp.luhy-milavy@email.cz
BAJ Camp;+420776752310;marek.kadlicek@email.cz
Kemp Keramika;+420608749745;info@kempkeramika.cz
Nivnická riviéra;+420722145322;nivnicka-riviera@seznam.cz
Rekreační areál Poslův Mlýn;+420734596586;rezervace@posluvmlyn.cz
vodní nádrž Slapy;+420777888777;pica@pica.cz
Resort Beach Nová Živohošť;+420222500131;info@resort-beach-novazivohost.com
Chatová osada U lesa;+420603238055;info@chatyvranov.cz
kemp Žichovice;+420606399082;soukuppaja@seznam.cz
Masarykův tábor YMCA v Soběšíně;+420773603281;taborsobesin@palacymca.cz
Kemp Stebnice u Jesenice - Cheb;+420604921495;kempstebnice@email.cz
Kemp Horní Bečva;+420776719649;kemphb@seznam.cz
Máchovo jezero levné ubytování;+420774345400;privat.hawaii@seznam.cz
Camping Aloisov;+420606176989;camping.aloisov@seznam.cz
Sporthotel Barborka;+420387966506;hotel@sporthotelbarborka.cz
Kemp Paris;+420603509164;janaskolkova@centrum.cz
Rekreační areál Dolce v Krkonoších;+420774233342;recepce@camp-dolce.cz
Penzion Laura;+420412381069;pokahonci@quick.cz
Kemp Vítkova Hora;+420353331764;info@vitkovahora.cz
Lávka Park Skochovice;+420773979777;lavkaskochovice@lavka.cz
HG Sport - camp Troja;+420233542825;info@hgsport.cz
Camp Rumcajs;+420725299988;camprumcajs@seznam.cz
autokemp a chatky JEZ dobré naděje....;+420733766516;recepce@campdobrichovice.cz
Hotel Seifert;+420724088210;info@horskyhotelseifert.cz
zuklín;+420721683898;pod@seznam.cz
Camping Boskovice;+420777170260;petr.malach@sluzbyboskovice.cz
Ubytování v mobilních domech v Konstantinových Lázních;+420775983377;larocca@larocca.cz
KEMP POD SMRKEM;+420723610760;katuleta@centrum.cz
Rodinný penzion Pod Jedlovou;+420774403143;info@podjedlovou.cz
Kemp u Zápeců;+420774178489;petrazapecova@seznam.cz
Autokemp U Věže;+420493623438;info@kempuveze.cz
RS AVIA Varvažov;+420725851946;info@rsavia.cz
RS Jiskra Náměšť nad Oslavou;+420725851946;info@rsjiskra.cz
Kemp Třeboňsko, Tušť;+420606637781;calko@tiscali.cz
Sportovně-rekreační areál Radava;+420608910810;r.kotalik@seznam.cz
