Název;E-mail;Telefon
"APLEND, s.r.o.";tatry@aplend.com;"0904 744 000"
"Mikuláš Juraj";jurajmikulas@naex.sk;"044 5547 257"
"FatraLiptov s.r.o.";info@apartmanyfatrapark.sk;"0917 765 608"
"Euro - Projektservis, s.r.o.";;
"Jibstar Distribution s. r. o.";info@vilajasna.sk;
"Serenity Group, s. r. o.";serenity.pribylina@gmail.com;"0948 031 367"
"Eris, s.r.o.";reservations@melroseapartman.sk;"02 2076 2946"
"Staroň Tomáš";staron@apartmanylipka.sk;"0908 698 145"
"Plajdičková Danka";dplajdickova@gmail.com;"0903 587 666"
"Klement, s.r.o.";info@ubytovaniedunajskastreda.sk;"0919 413 801"
"IVICA SK s. r. o.";ubytovanie@penzionivica.sk;"0902 223 322"
"VILA ZUBEREC, s. r. o.";info@vilazuberec.com;"0911 060 677"
"Freaks, s.r.o.";info@bobulky.sk;"0905 920 855"
"Šunová Anna";anicka102@gmail.com;"0902 667 890"
"Jurčo Peter";info@apartmansrnka.sk;"0911 414 569"
"CYSEL - Štefan Cyprich";cysel@cysel.sk;"0905 642 037"
"A3M Apartments s.r.o.";recepcia.krivan@gmail.com;"0919 192 534"
"Trio - Richard Papp";papptrio@gmail.com;"0905 512 215"
"Tursunovová Tatiana";recepcia@villaseverka.sk;"0917 064 074"
"APetra s.r.o.";apetra@apetra.sk;"0903 514 222 | 0903 645 567"
"Sedliacky dvor, s.r.o.";info@sedliackydvor.com;"0911 078 303 | 048 6117 218"
"Maroš SK s.r.o.";info@vilamaros.sk;"420 777 | 943 669094 | 0 799 120 | 943 669"
"ACR, s.r.o.";magura@parksnow.sk;
"Kučerová Eva";info@apartmanymojtin.sk;"0902 826 501 | 0902 329 107"
"Komposesorát - Pozemkové spoločenstvo Liptovská Anna";ubytovaniepravnac@gmail.com;"0910 926 330"
"AZ TIP - Ing. Anton Žember";info@ubytovaniezember.sk;"0905 207 434"
"WILI SLOVAKIA, s. r. o.";info@wilislovakia.sk;"0918 707 125"
"JAZIERCE, s.r.o.";jazierce.prenajom@gmail.com;"0905 690 119 | 033 5513 696"
"A3S s. r. o.";info@apartmanytristudnicky.sk;"0919 132 629 | 0917 777 040"
"Zahovay František, Ing.";zahovay@sturovo-ubytovanie.sk;"0905 913 867"
"Fukas s.r.o.";info@fukasapartments.com;"0948 949 997"
"R investment, s.r.o.";ski.and.sun@gmail.com;"0944 598 582"
"Taxi Liptov & Apartmány Bešeňová, s. r. o.";apartmanydreams@gmail.com;"0918 883 011"
"Bike & Ski Fans";apartmanbystrica@atlas.sk;"0911 120 672"
"V & P, s.r.o.";laurinska@tatrareal.sk;"0905 616 344 | 02 5726 7213"
"VILA HORAL s.r.o.";info@vilahoral.sk;"0904 210 121"
"KENOIL TRADE, s.r.o.";info@ukamarata.sk;
"Dvorská Viera";dvorska.mlyn@zoznam.sk;"0907 29 | 4 724+421 | 948 100 965 | 0907 294 724 | 421 948 | 100 965"
"SOLUDUS s.r.o.";soludus@soludus.sk;"0903 908 361"
"Apartments City Centre s.r.o.";info@apartmentscitycentre.sk;"0904 610 541"
"Harmony AP Resort, s.r.o.";apresort@apresort.sk;"0901 710 718"
"LM Square, s.r.o.";info@byty-liptov.sk;"0918 366 893 | 0918 617 305"
"Penzión Bělín - Ing. Filip Bělín";belin@tatry.sk;"052 4467 778"
"ŠADUL, s.r.o.";info@sadul.sk;"0918 183 911"
"Holiday Village, s.r.o.";;"02 4591 5109"
"I - TRADING, s.r.o.";matejistvanovic@gmail.com;"0944 357 822"
"Kórósi Juraj";apartmanroyal@gmail.com;"0907 128 268"
"Hruška Rasťo";ubytovanienovemesto@gmail.com;"0905 218 429"
"ZM Group, s.r.o.";info@penzionvrchar.sk;"0905 454 031"
"JM & Co. s.r.o.";info@borjasna.sk;"0905 365 137"
"Kosnová Valéria";apartmanvalko53@gmail.com;"0910 122 749"
"CN Trading, s. r. o.";info@cityap.sk;
"Argyll - Marián Mudrák";info@apartmanyantik.sk;"0908 907 560 | 0908 964 003"
"Korlea Trade, s.r.o.";almet@almet.sk;"048 4199 877"
"ANNEXUS s.r.o.";donovaly.apartmany@gmail.com;"0903 175 781"
"Mikuláš Juraj";jurajmikul@gmail.com;"0918 932 636"
"ROJA - Ing. Robert Németh";roja1nemeth@gmail.com;"035 6589 205 | 0905 562 998"
"VOJAN s.r.o.";apartmanjan@gmail.com;"0903 990 005"
