Název;E-mail;Telefon
"KRONEX s.r.o.";recepcia@hotelpodzamkom.sk;"0915 868 453"
"Litva Jozef, Ing.";info@bowgarden.sk;"035 7732 237"
"Hotel ARKADA, s.r.o.";hotelarkada@arkada.sk;"053 4512 255"
"MS systém, s.r.o.";recepcia@hotel-karpatia.sk;"057 7861 888"
"TEREZA, spol. s r.o.";hotel-tereza@hotel-tereza.sk;"02 4524 5460"
"Manojlovičová Anna Ing.";recepcia@hotelzemplin.sk;"056 6724 381"
"Devils, s.r.o.";recepcia@hotelpeklo.sk;"035 7740 620"
"MJK s.r.o.";hotel@hotelpavla.com;"033 7743 422"
"Z.E.N., s.r.o.";kancelaria@hotel-europa.sk;"052 7721 897"
"Hotel N°16, s.r.o.";hotelno16@hotelno16.com;"02 5441 1672"
"DITURIA, a.s.";info@dituria.sk;"036 6312 214"
"Hubert NZ, s.r.o.";hubert@hubertnz.sk;"0915 778 238"
"HOTEL POD BRÁNOU, s.r.o.";recepcia@hotelpodbranou.com;"054 4722 348"
"Hotel Delfín, s.r.o.";info@hoteldelfin.sk;"02 2020 4040"
"SLOVAKIA REAL - IN, a.s.";recepcia@cityhotelpark.sk;"0918 913 012 | 043 5811 111"
"Lineas, s.r.o.";;"051 7723 325 | 051 7723 326"
"MAXIM 2001, s.r.o.";recepcia@hoteljanosik.sk;"0911 544 450 | 044 5522 721"
"West club, s.r.o.";hotel@hotel-west.sk;"02 5478 8693"
"MAGER - Jozef Valicek";info@mager.sk;"0905 173 439"
"Rokoko Holding s.r.o.";rokoko@rokoko.sk;"0907 675 722"
"Ocean Tour s.r.o.";info@hotelmousson.sk;"056 6419 800 | 056 641 98 99"
"ÁČKO a.s.";eshop@acko.sk;"044 4332 485 | 0911 531 426"
"B+B – Ing. Milan Bosák";bosakmilan@gmail.com;"056 6383 415 | 056 6385 130"
"MARCG s.r.o.";hotelrubinsk@gmail.com;"0907 156 155 | 054 7524 210"
"Thorin, a.s.";vengrinova@thorin.sk;"02 6436 9000 | 421 2 64 | 4 62 957"
"PM a Kompany, spol. s r.o.";recepcia@hotel-lipa.sk;"041 4335 090 | 041 4335 091"
"Golden royal group, s.r.o.";hotel@goldenroyal.sk;"055 7201 011"
"FLOREN, a.s.";hotel@golfer.sk;"045 6743 767"
