Název;E-mail;Telefon
"J a H s.r.o.";motelm@motelm.sk;"0948 226 959034 7724 385 | 0948 226 959"
"Motel na vrchu - Daniela Hromníková";recepcia@motelnavrchu.sk;"0903 205 403033 6403 636 | 0903 205 403"
"TIMAT - Tibor Ferenczi";moteltribec@gmail.com;"0917 713 0610905 400 551 | 0917 713 061"
"Biker spol. s r.o.";info@moteljanicky.sk;"0903 700 1620905 555 500034 6590 084 | 0903 700 162"
"RANČ, s.r.o.";recepcia@motelranc.sk;"044 4303 342 | 044 4303 341"
"ROAD 66, s.r.o.";motelroute66lopej@gmail.com;"0904 288 2870945 453 421 | 0904 288 287"
"ADLUB s.r.o.";info@orgovan.sk;"055 4604 357"
"Nechajová Mária";info@motelgombas.sk;"044 4391 385"
"Skalka SK, s.r.o.";info@motelskalka.sk;"041 4212 156"
"Luteus, s.r.o.";motel.luteus@gmail.com;"0911 405 105"
"AD - Realing, s.r.o.";;"042 4422 554"
