Název;E-mail;Telefon
"Rezident consult, s.r.o.";rezidentconsult@rezidentconsult.eu;"0948 026 649"
"SENGER & Partners s. r. o.";info@senger.sk;
"V & G - Valéria Dobrotová";panda.penzion@nextra.sk;"043 4924 169"
"Pakši Arpád";rezervacie@penzion-daniela.eu;"0905 862 968"
"Penzión Angelika - Milan Janček";penzionangelika.jancek@gmail.com;"0902 553 579"
"Soler - Pavol Struhár";pension@soler.sk;"0911 353 004 | 045 6744 335"
"SABATO s.r.o.";sabato@sabato.sk;"052 7769 580"
"Bona - ex, s.r.o.";info@apali.sk;"035 7721 721 | 0915 607 631"
"RK gastro s. r. o.";recepcia@penzionflamm.sk;"0918 010 023"
"Orca - An s.r.o.";info@ubytovaniehviezda.sk;"0902 817 666"
"PABY, s.r.o.";penzionpaby@gmail.com;"033 5579 166"
"Reštaurácia Centrum - Elena Mitterová";restauracia-centrum@netspace.sk;"045 5497 407"
"Bývalí urbarialisti obce Krušetnica - pozemkové spoločenstvo";urbarkrusetnica@centrum.sk;"0905 852 695"
"Eichlerová Zuzana, Ing.";info@penzionhelena.sk;"044 5263 306 | 0903 382 413"
"MLYN A, s.r.o.";penzionmlyn211@gmail.com;"0903 419 103"
"Penzion - restaurant Oáza, s.r.o.";oaza@penzion-oaza.sk;"043 4134 837"
"Minipivovar TATRAS, s. r. o.";info@minipivovartatras.sk;"0948 828 727"
"Žák Vladimír";recepcia@penzionberyl.sk;"055 6998 539 | 0918 891 821"
"AHM Alfa, s.r.o.";info@penzionexclusive.sk;"0903 771 050"
"Dopos, s.r.o.";tofi@penziontofi.sk;"037 6516 703"
"Juričková Zdenka";vilalinda@vilalinda.sk;"0903 529 750"
"Penzión u Krba, s.r.o.";penzion@ukrba.sk;"0918 055 066"
"Basta Real, s.r.o.";recepcia@penzionfesi.sk;"0948 621 231 | 032 6497 835"
"POLONEC s.r.o.";penzionoaza@penzionoaza.sk;"0911 743 285 | 033 5501 218"
"Siporex, spol. s r.o.";reception@penzionberg.sk;"0902 222 223"
"Klasik 1, s.r.o.";sabbia@sabbia.sk;"0905 327 366 | 046 5424 088"
"Obchodné centrum Zora, spol. s r.o.";oczora@centrum.sk;"046 5411 990"
"S.E.C. Company, a.s.";info@apartmanystyle.sk;"0917 267 784"
"UBT 1. s.r.o.";info@ubytko-stupava.sk;"0948 351 313"
"Profilex s.r.o.";bystrica@penzionbystrica.sk;"042 4262 586 | 0905 841 920 | 042 4262 585"
"SPN plus, s.r.o.";espeen@espeen.sk;"043 5823 691 | 0911 222 806"
"LIMBA ŠK, spol. s r.o.";limbask@sinet.sk;"052 7894 022 | 0905 368 275"
"Pútnický mlyn, s. r. o.";info@putnickymlyn.sk;"0904 996 470 | 0903 227 440"
"Polák Karol";karolpolakx@zoznam.sk;"034 6583 144 | 0904 613 553"
"U Vinca - Peter Kvasna";uvinca@uvinca.sk;"0907 818 379 | 0905 546 228"
"Drábek Jiří, Ing.";drabek.ujakuba@gmail.com;"0903 248 145"
"Heriban, s.r.o.";cerovanka@cerovanka.sk;"0903 232 358 | 0903 524 825 | 0903 232 360"
"TARB, s.r.o.";penzionjordan@gmail.com;"0904 374 537"
"K - Ross real, s.r.o.";horseinn@horseinn.sk;"055 6231 423 | 0915882018"
"RTC, s.r.o.";r-t-c@r-t-c.sk;"0918 718 829"
"Salur s.r.o.";salur@salur.sk;"035 6506 060"
"Balla Bartolomej";recepcia@villi.sk;
"Penzión Set, s.r.o.";penzionset@penzionset.sk;"055 7880 311"
"A B LUX, s.r.o.";penzionlux@penzionlux.eu;"037 6923 111 | 0948 733 944 | 037 6923 110"
"PENZIÓN U BARBORKY - Ing. Lenka Dinghová";ddinghova@zoznam.sk;"0914 175 095"
"Daubnerová Soňa";penziontomino@penziontomino.sk;"045 6921 307"
"KLAS - Ľubomír Chrien";info@penzionzlatydukat.sk;"045 5394 746 | 0908 900 484"
"Zada Group, s.r.o.";info@rusovskypenzion.sk;"0903 825 282 | 421 2 62 | 85 9305"
"Almada, spol. s r.o.";almada@almada.sk;"045 5323 280"
"EMTES s.r.o.";recepcia@hotelemtes.sk;"0911 655 922 | 02 4592 4563"
"Vrtiel Radoslav, Mgr.";info@penzionorion.sk;"0915 752 937"
"GB Services Plus s.r.o.";penzion@grillbar.sk;"0902 506 056"
"Pegas J&M s.r.o.";info@avenue7.sk;"0907 933 301"
"Residence BS, s.r.o.";recepcia@reslaresidence.sk;"0918 802 995"
"Byvex - Ing. Roman Turba";aria@aria.sk;"037 6517 739"
"Menyhárt Csaba";penziongreenhouse@gmail.com;"0905 131 364 | 0905 445 288"
"Drevovýroba a obchod - Stanislav Taliga";;"0903 645 456 | 0905 768 013"
"Penzión ROSY - Ing. Ján Ružička";info@penzion-rosy.sk;"034 6213 430 | 0911 450 879"
"Zuckmann Villa s.r.o.";info@zuckmann.sk;"0948 446 766"
