Název;E-mail;Telefon
"Rímskokatolícka cirkev Biskupstvo Nitra";penzion.bystrik@gmail.com;"0903 483 4540903 234 114 | 0903 483 454"
"Uhliarik Peter";;"0908 029 684"
"Team, s.r.o.";info@penzioncachovo.sk;"0917 899 566"
"Zoričák Milan";ajazor@gmail.com;"0907 158 141"
"Šimonová Daniela";info@penzionsabina.sk;"0905 334 126"
"Penzion Frank s. r. o.";info@penzionfrank.sk;"044 5586 130"
"TATRASPORT ZAMPA, s.r.o.";tatrasport@spyder.sk;"0903 620 662"
"Creative Technology Studio s.r.o.";cucoriedka@cucoriedka.sk;"0948 227 773"
"VALIGA - JUDr. Vladimír Urblík";stredeuropy@skikrahule.sk;"045 6742 8460918 601 601 | 045 6742 846"
"Mihóková Rozália";fialovydom@fialovydom.sk;"0907 050 797"
"REŠTAURÁCIA POD HRADOM - Mária Donthová";mariadonthova@centrum.sk;"0911 897 0170915 449 231 | 0911 897 017"
"Penzión Šafrán - Mária Bekešová";penzionsafran@zdiar.sk;"0915 964 619"
"Nebeski s.r.o.";nebeski@nebeski.sk;"0903 228 013"
"Na Mlyne, s.r.o.";recepcia@namlyne.sk;"0905 822 2750918 907 418 | 0905 822 275"
"Jarabina, s.r.o.";jarabina671@gmail.com;"043 4297 153"
"Pavlík Martin";starafara@post.sk;
"Lahová Lucia";penzionmineral@yahoo.com;"0949 404 511"
"Tömölová Zuzana";info@penzionskalnaruza.sk;"0905 718 046058 7921 458 | 0905 718 046"
"Penzión pri Trojičke, s. r. o.";info@penzionpritrojicke.sk;"041 4382 279"
"L C E s.r.o.";lce@post.sk;"056 6396 4130905 326 193 | 056 6396 413"
"GASTRIO, s. r. o.";penzionnapriehrade@gmail.com;"0910 578 800"
"Penzión 533 - Ing. Ján Šindléry";penzion@sindlery.sk;"0903 171 345 | 044 5590 346"
"Stiv Čertovica, s.r.o.";certovica@certovica.sk;"044 5291 4010908 551 479 | 044 5291 401 | 044 5291 400"
"Slebodová Iveta";penzionenrico@gmail.com;"0903 996 188"
"Lendel s.r.o.";energy1@energy-podhajska.sk;"035 6586 129035 6586 164 | 035 6586 129"
