Název;E-mail;Telefon
"PATRESORT, s.r.o.";bonaparte@bonaparte.sk;"035 7731 444 | 0902 179 079"
"Florek Miroslav";penzion@pohodakrusetnica.sk;"0908 223 888"
"ŠRZ Drienok, s.r.o.";info@drienok.sk;"043 4944 172"
"Rímskokatolícka cirkev Biskupstvo Nitra";penzion.bystrik@gmail.com;"0903 483 454 | 0903 234 114"
"Uhliarik Peter";;"0908 029 684"
"Team, s.r.o.";info@penzioncachovo.sk;"0917 899 566"
"Zoričák Milan";ajazor@gmail.com;"0907 158 141"
"Šimonová Daniela";info@penzionsabina.sk;"0905 334 126"
"Penzion Frank s. r. o.";info@penzionfrank.sk;"044 5586 130"
"TATRASPORT ZAMPA, s.r.o.";tatrasport@spyder.sk;"0903 620 662"
"Creative Technology Studio s.r.o.";cucoriedka@cucoriedka.sk;"0948 227 773"
"VALIGA - JUDr. Vladimír Urblík";stredeuropy@skikrahule.sk;"045 6742 846 | 0918 601 601"
"Mihóková Rozália";fialovydom@fialovydom.sk;"0907 050 797"
"REŠTAURÁCIA POD HRADOM - Mária Donthová";mariadonthova@centrum.sk;"0911 897 017 | 0915 449 231"
"Penzión Šafrán - Mária Bekešová";penzionsafran@zdiar.sk;"0915 964 619"
"Nebeski s.r.o.";nebeski@nebeski.sk;"0903 228 013"
"Na Mlyne, s.r.o.";recepcia@namlyne.sk;"0905 822 275 | 0918 907 418"
"Jarabina, s.r.o.";jarabina671@gmail.com;"043 4297 153"
"Pavlík Martin";starafara@post.sk;
"Lahová Lucia";penzionmineral@yahoo.com;"0949 404 511"
"Tömölová Zuzana";info@penzionskalnaruza.sk;"0905 718 046 | 058 7921 458"
"Penzión pri Trojičke, s. r. o.";info@penzionpritrojicke.sk;"041 4382 279"
"L C E s.r.o.";lce@post.sk;"056 6396 413 | 0905 326 193"
"GASTRIO, s. r. o.";penzionnapriehrade@gmail.com;"0910 578 800"
"Penzión 533 - Ing. Ján Šindléry";penzion@sindlery.sk;"0903 171 345 | 044 5590 346"
"Stiv Čertovica, s.r.o.";certovica@certovica.sk;"044 5291 401 | 0908 551 479 | 044 5291 400"
"Slebodová Iveta";penzionenrico@gmail.com;"0903 996 188"
"Lendel s.r.o.";energy1@energy-podhajska.sk;"035 6586 129 | 035 6586 164"
"MIRO TOURS s.r.o.";info@skizabava.sk;"0908 677 322"
"PREDNA HORA s.r.o.";ra@prednahora.sk;"0910 923 535 | 0915 956 173"
"Mountain resort, s.r.o.";info@mrz.sk;"0917 864 096 | 0907 363 316"
"Štelmach Miroslav";info@umirca.sk;"0948 505 700"
"Svocák Ľudovít";ludosvocak@gmail.com;"0907 942 098 | 0940 800 265 | 0907 148 303 | 0911 844 654"
"A & R Management, s.r.o.";stano@jasna-ubytovanie.sk;
"Pepuchová Dagmar";info@vilaprivahu.sk;"044 4392 745 | 0905 131 282"
"ALPINKA - Jozefína Kučáková";alpinka@alpinka.sk;"0904 624 043"
"Penzion Medvedica s.r.o.";penzionmedvedica@gmail.com;"0948 427 407"
"Penzión v stráni - Zuzana Kršteníková";myto@domcekvstrani.sk;"0904 102 411"
"PENZIÓN BOROVEC - Emil Hruboš";penzionborovec@gmail.com;"0903 622 908 | 0902 405 622"
"Lyžiarske stredisko RACIBOR s.r.o.";racibor@centrum.sk;"0911 838 986 | 0901 733 516"
"iconiX SE";hotel@steve.sk;"0908 930 888 | 0918 243 505 | 0907 812 327"
"TATRA UNITED CORPORATION, a. s.";marketing@hoteltatra.sk;"0948 840 441 | 02 5927 2111 | 033 3243 122 | 033 2420 020"
"Relax Hotel s.r.o.";fim@fimjasna.sk;"044 5479 999 | 0905 180 746"
"FESTA - BEST s. r. o.";info@terchovavratna.sk;"0948 484 881 | 0948 484 888 | 0948 484 885"
"TRIANGLE GROUP INTERNATIONAL, s.r.o.";tgi@tgi.sk;"052 7878 411 | 0905 633 777 | 052 4522 550"
