Název;E-mail;Telefon
"Bartišek Jaroslav";;"0905 897 266"
"Oštrom Tibor";ostrom@post.sk;"047 5696 278 | 0905 874 243"
"RZ Jedliny, s.r.o.";jedliny@jedliny.sk;"0905 934 947"
"Fabonums, spol. s r.o.";info@bonums.sk;"042 4624 063"
"Centrum účelových zariadení";signalpiestany@gmail.com;"033 7621 127"
"YVEX, s.r.o.";recepcia@gothal.sk;"0945 445 544"
"Súkromná škola v prírode";ilcikovalubomira@post.sk;"0911 180 150"
"Vinogold s.r.o.";julius@rsnet.sk;"0908 941 642 | 047 5696 168"
"BM ALTAN s.r.o.";bielik@altan-rajecketeplice.sk;"0905 786 711"
"Správa cestovného ruchu Senec s.r.o.";scr@slnecnejazera.eu;"02 4592 3324"
"FALKO DANOVA, s.r.o.";rsdanova@rsdanova.sk;"0902 919 707"
"SP Jelenec, s.r.o.";ubytovanie@jelenec.sk;"0944 591 880"
"Drevenice Zuberec s.r.o.";drevenicezuberec@drevenicezuberec.sk;"0908 445 747"
"Tatex, s.r.o.";tatex@orangemail.sk;"0905 881 594"
"MARINA LIPTOV, a. s.";rezervacie@marinaliptov.sk;"0902 605 605 | 0901 708 957"
"REKREAČNÉ STREDISKO BANÍK POD RADZIMOM - Vojtech Eltschläger";julius@julius.sk;"0903 324 947"
"Škola v prírode";skolavprirode.kysak@hotmail.com;"0905 521 273"
"Odborový zväz pracovníkov školstva a vedy na Slovensku";;"0918 901 762 | 00177920"
"Elfo Club, s.r.o.";info@elfoclub.sk;"0917 845 102"
"Chata Havranovo, spol. s r.o.";havranovo@post.sk;"0911 831 342"
"Chata AMOR, s. r. o.";info@chataamor.sk;"0907 495 767"
"EDEN, s.r.o.";ziar@chataziar.sk;"0903 310 387"
"Hornonitrianske bane Prievidza, a.s. v skratke HBP, a.s.";bane@hbp.sk;"0906 771 211 | 0918 777 013"
"Fantázia dp, s.r.o.";fantazia@fantazia.eu;"0948 027 692 | 0949 749 790"
"OTO SYSTEM, s.r.o.";recepcia@ekorezort.sk;"0918 908 684"
"GAZÁRKA, s.r.o.";info@gazarka.eu;"034 6592 348"
"Rz Priedhorie - Ivan Krúpa";rz.priedhorie@pruzina.sk;"0905 461 150 | 421 42 4 | 35 88 54"
"Chovanová Alica";chatapodlesom@r15.roburnet.sk;"0905 794 870 | 02 6382 1185"
"Súkromná škola v prírode Planinka";planinka@marta.sk;"033 5575 289 | 0918 184 558"
"Wera-tour, s.r.o.";hotel@zelenybreh.sk;"051 7798 508"
"Kandráč Oto, MVDr.";camp@zlatekopyto.sk;"051 7743 449"
"Zichová Monika";svp@sipkova.sk;"0911 420 417 | 041 5650 225"
"PETAMAX s.r.o.";ubytovanie@jahodnaresort.sk;"0903 269 257 | 055 6967 395"
"Rekreačné zariadenie Javorinka, s.r.o.";rzjavorinka@gmail.com;"0911 747 471 | 032 7762 580"
"Škola v prírode Detský raj Tatranská Lesná";riaditel@svpdraj-tlesna.vucpo.sk;"052 4422 553 | 0915 804 431 | 00186759"
"Bereczk Oskar, Ing.";info@relaxpark.sk;"0905 591 887 | 0905 859 769"
"Ekoma rezort, s.r.o.";info@ekomarezort.sk;"045 5364 031 | 0918 363 606"
"DIPO - Mgr. Ladislav Klein";kysak.brezie@gmail.com;"051 7714 834"
"Chemako, spol. s r.o.";rzzlataidka@nextra.sk;"055 4669 117"
"Fonicia International, s.r.o.";chataopatova@gmail.com;"032 7433 272"
"MARGITA - ILONA, s.r.o.";margita-ilona@margita-ilona.sk;"036 6312 954"
"Základná organizácia odborového zväzu Kovo Třinecké železiarne";recepcia@chatatrinec.sk;"0905 963 068 | 044 5586 288"
"CLASS R&E Resort s.r.o.";chata@zaruby.sk;"033 5586 692 | 0905 820 330"
"Opalex, s.r.o.";info@opalexsigord.sk;
"HUTIRA Slovakia s.r.o.";info@hutiraslovakia.sk;"0948 924 692"
"Horehronská kúria s.r.o.";info@horehronskakuria.sk;"0908 548 342"
"Hruboš František";kubrica@kubrica.sk;"0905 664 471"
"Stredisko Lipka s. r. o.";strediskolipka@strediskolipka.sk;"0950 589 575"
