Název;E-mail;Telefon
"1. Reality Rent, s.r.o.";vandlik@reality-rent.sk;+421918632975
"1.BCR s.r.o.";info@1bcr.sk;"+421 901 789 818"
"3 ON REAL s.r.o.";makler@3onreal.sk;"0904 046 056"
"3RP Reality";info@3rp-reality.sk;"+421 908 71 09 62"
"5 STARS Realitná agentúra";info@5starsreality.sk;+421903771237
"A-W REAL";mazacs.adam@awreal.sk;"+421 905 409 669"
"A-Z REAL spol. s r.o.";azreal@azreal.sk;"+421 905 700 989"
"A3 REAL INVEST CONSULTING, s.r.o.";jelasicova@a3real.sk;00421903215565
"AB Contact, s.r.o.";info@abcontact.sk;0905645074
"AB REAL TRNAVA s. r. o.";blazekova.abrealtrnava@gmail.com;0905844498
"ABC realitná s.r.o.";abc@abcrealitna.sk;+421915228833
"ABERTAL REALITY s. r. o.";info@abertal.sk;+421904403222
"ADAK SK, s.r.o.";kulcsarova@broker-real.sk;+421917484501
ADRIREAL;astalosova@adrireal.sk;0917814648
"AGENT.SK, s. r. o.";info@agent.sk;"+421 2/444 411 11"
"AGROP PLUS, s.r.o.";office@agropplus.sk;"+421903 445 716"
"AHURA reality";pivarnikova@ahurareality.sk;0918927252
"AKM Kapital, s.r.o.";krahulec@akmkapital.sk;"0905 285 610
0908 930 525"
"ALFA SALUTO REAL s.r.o.";alfa.saluto@gmail.com;"0911 546 829"
"ALL 4 LIFE";info@allforlife.sk;"+421 (0)903 476 290"
"ALL INCLUSIVE REAL, s. r. o.";info@allinclusivereal.sk;"+421 951 780 731"
"All Inclusive Reality&Finance s.r.o.";jozef.polak@allinclusiverk.sk;0910335999
"Alormax Real s.r.o.";alormax@alormaxreal.eu;"+421 944 858 789"
"Alpha Reality s.r.o.";info@alphareality.sk;"+421 915 140 759"
"AM living, s. r. o.";info@amliving.sk;0910972925
"AMAXADES s.r.o.";amaxades.reality@gmail.com;"+421 911 201 211
+421.911.400.211"
"Amela Real, s.r.o.";info@amelareal.sk;"0948 255 177"
"AMEXA REAL s. r. o.";amexa@amexa.sk;0948023083
"Amigo Real, s. r. o.";info@vipreality.eu;"0948 22 44 24"
"AMOS reality s.r.o.";a.moserova@amosreality.sk;0905280985
"APARTIM, s.r.o.";apartim@apartim.sk;"0903 408 815"
"ART - G s.r.o.";info@topreality.eu.sk;+421907765097
"Assenzio s. r. o.";lukas@assenzio.sk;0917448421
"AstonReal s.r.o.";info@astonreal.sk;"0905 222 055"
"AVORY Realitné Centrum";info@avoryreal.sk;"0908 561 713"
"AWENA s.r.o.";awena@awena.sk;0948819888
"Axis real, spol. s r.o.";info@axisreal.sk;"0948 100 222"
"B10 Slovensko, a.s.";inzercia@b10.sk;0949833900
"Babony TRE s.r.o.";office@babonytre.sk;"+421 910 210 333"
"BALAŽI REAL ESTATE s.r.o.";info@balazi.sk;"0907 306 592"
"Barnett & Partners s.r.o.";info@barnettpartners.sk;"+421(0)948 805 905
+421 902 317 820"
"Bc. Katarína Šmidtová - Real Home";smidtova@real-home.sk;"0911 756 432"
"Bc. Miroslav Kučeravý - MK REAL";mk-real@mk-real.sk;"0905 423 489"
"Belia Property";milantiso@yahoo.com;0904507674
"BELLA VITA Slovakia";info@bellavitaslovakia.sk;"0902 849 249"
"BENARD GROUP, s.r.o.";info@benard.sk;"+421 918 514 766"
"BEREK s.r.o.";bilisicova@bereknz.sk;"00421 908 541 839"
"Berger Reality, s.r.o.";info@bergerreality.sk;055/6251125
"BHS Reality, s.r.o.";kontakt@bhs-reality.sk;0948884122
"BINI BEATUS spol. s r.o.";bbsluzby@gmail.com;0948166514
"BOND Reality - franchisingová sieť, s. r. o.";info@bondreality.sk;"0905 333 333"
"BONKREAL s. r. o.";info@bonkreal.sk;"0903 959 868"
"BpV Reality, s. r. o.";martina.moskova@bpv.sk;0945451548
"BRIX real";h.kristekova@gmail.com;+421915722918
"Brokerian Group, s.r.o.";samuel.hvizd@brokeria.sk;
"ByDoPo, s.r.o.";bydopo@bydopo.sk;+421949535445
"Cafe Reality s.r.o.";info@cafereality.sk;"+421 907 055 744"
"CASSOVIA REALITAS Košice s.r.o.";info@cassoviarealitas.sk;0907190000
"Center Reality s.r.o.";tomashelbich@centerreality.sk;0907754481
"CENTRUM REALÍT";info@centrum-realit.sk;"0911662958 I 0905361061"
"CHATY pod TATRAMI";info@chatypodtatrami.sk;"048 611 10 30"
"COMACC reality, s.r.o.";kancelaria@comaccreality.sk;"0911 511 601"
"COMPRA, s.r.o.";compra@compra.sk;"+421 905408242"
"DAM-TRADING, s.r.o.";gorcsova@damtrading.sk;0904976969
Danubioreal;i.petrovicsova@danubioreal.sk;"+421 917 579 786"
"Diamant Real s.r.o.";helstre@azet.sk;+421903063460
"DK Real, s.r.o.";info@dk-real.sk;
"Dkom, s.r.o.";dkomsro@gmail.com;"0944 555 852"
"DM-Reality, s. r. o.";dusan.miklos@gmail.com;0948783473
"DOBRÉ REALITY s. r. o.";centrala@dobrereality.sk;0918800080
Domovia;info@domovia.sk;"0950 570 116"
"Domy pre ľudí s.r.o.";lubos.michalik@domypreludi.sk;+421903374550
"DONA Real, s.r.o.";donareal@donareal.sk;0918696889
"DOREAL s. r. o.";doreal@doreal.sk;"0911 266 174"
"Dr. Domov";kontakt@drdomov.sk;"+421 948 126 017"
"DUO REAL spol. s r.o.";duoreal@duoreal.sk;0252922577
Eclipsereal;renataduffekova@gmail.com;"+421 914 777 812"
"ELITEREAL s. r. o.";elitereal@elitereal.sk;"+421 948 181 270"
"EPIC HOME";info@epichome.sk;"0911 667 988"
"Estate Point";reality@estatepoint.sk;0908224377
Esti;linda@estira.sk;"0903 555 961"
"EURO-ROYAL REALITY s.r.o.";galeta@euroroyal.sk;"0915 865 681"
"EVING real, s.r.o.";zadorova@evingreal.sk;0904108795
"Expat experts s. r. o.";office@expat.sk;"+421 252 62 20 20"
"FAKTOR Legal, s. r. o.";david@faktorreality.sk;+421948532826
"Fancy HOME s.r.o.";maria.polancikova@fancyhome.sk;0950270281
"FatraReal s.r.o.";info@fatrareal.sk;"+421 905 186 606"
"Fest Garant Invest, s.r.o.";fest.garant.invest@fgi.sk;"+421 911 056 069"
"FINAT IMMOBILIEN";immo@finat.at;"+43 664 254 50 12"
"FLEGRA COMFORT REALITY";info@flegrareality.sk;"0903 618 525"
"FLEM, s.r.o.";flem@flem.sk;"0907 579 033"
"FORS TRADE s.r.o.";forstrade@forstrade.sk;"+421 31 770 4057"
"FS Partners Reality";office@fsreality.sk;+421918263921
G-REAL;galko@g-real.sk;"0908 025 554"
"GALAXY REAL";info@galaxyreal.sk;0904541278
"GAWIX Reality s.r.o.";reality@gawixreality.sk;"0911 094 444"
"GG ESTATES s.r.o.";ggrealk@gmail.com;"0902 101 720"
Grahams;info@grahams.sk;"0902 111 333"
"GRAVITAS a. s.";gravitas@gravitas.sk;"0908 431 951"
"HALO reality s. r. o.";reality@haloreality.sk;"0915 238 411"
"HESTIA real s.r.o.";info@hestiareal.sk;"+421 908 128 046"
"HOFFMANN REAL, s. r. o.";kristianh@hoffmannreal.sk;"0905 605 528"
"HOME CENTER s.r.o.";homecenter@homecenter.sk;"0918 600 999"
"HOME Real s. r. o.";info@rkhomereal.sk;+421917720012
"HomeBrand s. r. o.";reality@homebrand.sk;0905682489
"HOMIES s.r.o.";homies@homies.sk;"+421 905350039"
"House reality estate, s. r. o.";info@housereality.sk;"0903 495 837"
"HR - reality s.r.o.";info@hr-reality.sk;+421911986686
"HRF REALITY s.r.o.";hrfreality@hrfreality.sk;"0908 756 200"
"HS Real s.r.o.";info@hsreal.sk;"0911 741 730"
"HUreality s. r. o.";info@hureality.sk;"0902 986 333"
"Huňady reality";kancelaria@hunadyreality.sk;"0948 121 777"
"Iconic Real Estate s. r. o.";office@iconicreal.sk;+421903442041
"ICT Reality spol. s r.o.";marketing@ictreality.sk;"0902 309 953"
"IMPERIO REAL s.r.o.";info@realitneimperium.sk;0949220180
"Impulz Real, s.r.o.";info@impulzreal.sk;"+421 948 797 013"
"IP REAL spol.s.r.o.";ipreal@ipreal.sk;0903466147
"IS Reality";iveta.srankova@isreality.sk;"0905 408 979"
"IUS NOE s. r. o.";noe@gretanoe.sk;0915963706
"J&MZ reality s.r.o.";jmr@jmr.sk;0903806449
"Jana Močarníková";jana@mocarnikova.sk;0917924684
"JO-DA nekretnine";info@joda-nekretnine.hr;"+385 91 890 4694"
"JOYEL s.r.o.";info@joyelreality.sk;"0948 368 364"
"JOZUE REALITY, s.r.o.";milan.drotar@jozue.sk;0917389436
"JUVA SK, s.r.o.";juva@juva.sk;"0903 259 437"
"KALANINOVÁ realitné služby";info@kalaninovareality.sk;"+421 903 317 875"
"KAMI PROFIT, s.r.o.";besedova@kami-profit.sk;"0905 241 618"
"KARPATY realmedia, s.r.o.";karcol.peter@gmail.com;
"KING REAL SK s.r.o.";info@kingreal.sk;"0903 054 463"
"KLAP REAL s.r.o.";janaklapkova131@gmail.com;"0918 615 492"
"KLOP KLOP";info@klopklop.sk;"0948 474 164"
"KN REALITY";office@knreality.sk;+421908480036
"KOMPAS reality s.r.o.";info@kompasreality.sk;"0904 987 519"
"KORIJKOV & AGENTS";korijkov@korijkovagents.sk;"+421 917 546 923"
"Kľúč RK s. r. o.";kluc@kluc.sk;"0907 507 507"
"Ladies & Gentlemen s. r. o.";info@ladiesandgentlemen.sk;0951778117
"LAGIN reality - realitná kancelária s.r.o.";laginreality@laginreality.sk;"+421 903 113 140"
"LAPE, s.r.o.";info@lape.sk;"0940 989576"
"Leaders & Partners (L&P reality), s.r.o.";lpreality@lpreality.sk;"+421 905 541 086"
LEGACY;info@legacy.sk;"+421 2 6541 1123"
"LeHouse, s. r. o.";info@lehouse.sk;0907635799
"Lenka Škulová";lenkaskulovabederova@gmail.com;0908164794
"LEXXUS, a.s.";info@lexxus.sk;"+421 911 988 000"
"LIONREAL, s.r.o.";lionreal@lionreal.sk;"0948 598 398"
"Lipka Real";lipkareal@gmail.com;"+421 948 908 908"
"LIVIANTE, s.r.o.";info@liviante.sk;"+421 918 539 523"
"LK REALITY s.r.o.";kickova@lkreality.sk;0907197011
"LT - EU Group s. r. o.";info@lt-eugroup.sk;0903252202
"LUHOVA reality";luhova@luhovareality.sk;"+421 907 985 292"
"LUPA NZ s.r.o.";lupareal@lupareal.sk;"0948 097 397
0915 741 258"
"MAMOX Bývanie v pohode, s.r.o.";info@mamox.sk;"0948 048 900"
"MARBOR REAL s.r.o.";marbor@marbor.sk;"0907 995 200"
"MaReality s.r.o.";marealitysro@gmail.com;0948918112
"Marek Gábor - CAMINO REALITY";info@caminoreality.sk;0950743640
"MAREČEK REALITY";jan@marecek.ceo;"0948 763 772"
"MAXFIN REAL s.r.o.";reality@maxfinreal.sk;"+421 905 851 933"
"MAXISS, spol. s r.o.";maxiss@maxiss.sk;"+ 421 905 613 160"
"MaxTad-Real s.r.o.";marekbarna@maxtadreal.sk;+421948781210
"maxxreality.sk, s. r. o.";asistentka@maxxreality.sk;"033 533 33 33"
"MB real realitná a finančná agentúra s.r.o.";blanka.csemiova@gmail.com;
"MEDITEX, spol. s.r.o.";meditex@meditex.sk;"0903 474970"
"MEGA Reality, s.r.o.";info@megarealitka.sk;0915186745
"Metropolitan Estates s.r.o.";admin@metropolitanestates.sk;"+421 22129 3931"
"Mezei&Mezei s. r. o.";mezei@mezeireality.sk;"+421 911 164  174"
"Mgr. Edita Vörösová - IntExReal";info@intexreal.sk;"0911 557 822"
"Mgr. Tatiana Zsebiová T-KREDIT";tkredit@tkredit.sk;0903713277
MIRABELL;info@mirabell.sk;0948122336
"MITAN.SK s.r.o.";mitan@mitan.sk;"02/5245 4500"
"Mičíková & Partners, s.r.o.";info@micikovapartners.sk;"0905 523 619"
"Mičíková Reality, s.r.o.";info@micikovareality.sk;"+421 905 523 619"
"MONTREAL SK, s. r. o.";mont-real@mont-real.sk;0911828418
"Motyčka & Motyčková s.r.o.";info@motyckark.sk;"0918 800 332"
"MyHOME Real Estate s. r. o.";reality.myhome@gmail.com;0919133959
"NEW LIVING s.r.o.";info@newliving.sk;"0908 756 738"
Nido;nidotenerife@outlook.com;+34622214023
"NLREAL, s. r. o.";krajcovic@nlreal.sk;"+421 948 943 349"
"NOTRE - reality s.r.o.";monikacemerickova@gmail.com;"+421 905663818"
Olins;olins@olins-rk.sk;+421911190431
"ORIN REAL s.r.o.";reality@orinreal.com;"0903 570428
033 2400486"
"PASS REALITY";info@pass.sk;"0903 996 996"
"Peter Chrašč VIGI";vigi@realvigi.sk;"0905 458 925"
"Petersen Realitný Servis";info@petersenreality.sk;"0910 88 88 97"
"Piroska Zács - MAX reality";zacspiroska@gmail.com;"+421918 927 426"
"PODOBY, s.r.o.";podoby@podoby.sk;+421911937009
"PRIME Reality, s. r. o.";info@primereality.sk;"0948 423 523"
"PRIUS COMPANY s.r.o.";info@priuscompany.com;+421911523565
"PROFI REALITY SABOL, s.r.o.";office@profirealitysabol.sk;0940101441
"Prom real consulting s. r. o.";kolencik@promreal.sk;0919040800
"PRR reality s.r.o.";info@prr.sk;0903586751
"Prvá realitná spoločnosť s. r. o.";stefansklenargo@gmail.com;"0917 587 594"
"Q REAL s.r.o.";toriska@qreal.sk;"+421 903 307 196"
"R&MZ reality s.r.o.";rmz@rmz.sk;"0908 289 368"
"RADO Reality Group s.r.o.";backoffice@radoreality.sk;
RE-ALITY;info@janakmetova.sk;0903518712
"Real - H, s.r.o.";h.bacikova@gmail.com;0903215200
"REAL ESTATE LIMITED s. r. o.";info@relslovakia.sk;"+421 918 841 507"
"Real Family";bvrealfamily@bvrealfamily.sk;"0903 223 571"
"Real Happy End s.r.o.";t.vassova@vassereality.sk;"+421 907 894 574"
"REAL PROPERTY & CONSULTING s.r.o.";info@real-property.sk;00421908476764
"REAL PROSPERITY s. r. o.";realprosperity@realprosperity.sk;"+421 51 77 220 22"
"REAL-SHOP s.r.o.";realshop@azet.sk;0908765890
"RealBand s.r.o.";info@realband.sk;"+421 917 149 652"
"Realdustry s. r. o.";richard.prugler@gmail.com;0904965166
Realify;info@realify.sk;"+421 911 993 822"
Realitea;marek@marekplavec.sk;0919356918
Realitka.Sk;manager@realitka.sk;"+421 903 287 001"
"Realitná kancelária SLNOVRAT";info@realityslnovrat.sk;"0911 121 755
0915 817 442"
"REALITNÉ SLUŽBY, s.r.o.";info@realitnesluzby.sk;+421917660735
"Reality AK, spol. s r.o.";info@realityak.sk;"0949 511 114"
"reality BIČIAR, s.r.o.";info@reality-biciar.sk;"0911 760 999"
"Reality Center, s.r.o.";danica@realitycenter.sk;"0905 219 704"
"Reality férovo";info@realityferovo.sk;"0905 299 352"
"REALITY HOUSE, spol. s r.o.";office@realityhouse.sk;"0940 622 000"
"Reality IQ, s.r.o.";info@realityiq.sk;"0911 626 622"
"Reality KOMPLEX s.r.o.";asistent@realitykomplex.sk;
"Reality Kondásová";iveta.kondasova@gmail.com;0907926552
"Reality KONTAKT";maczko@reality-kontakt.sk;"0910 180 222"
"Reality Kysuce";mn.pistekova@gmail.com;"0907 389 994"
"Reality MSB";info@msb-sro.sk;"+421 907 833 339"
"Reality partner servis, s. r. o.";realitypartnerservis@gmail.com;0903491706
"Reality Pri Hrone";reality@prihrone.sk;"+421 905 200 555"
"REALITY PV";info@rpv.sk;0908830797
"Reality Smolko, s. r. o.";info@realitysmolko.sk;"+421 903 755 777"
reality-trnava.sk;peter.vozar@reality-trnava.sk;0911747932
"REALLS s. r. o.";o.pivoluska@gmail.com;"0908 826 789"
"REB - REAL PARTNERS, s. r. o.";centrala@reb.sk;"0911 834 835"
"REFISTAV - TRADE s.r.o.";jana.lunio@refistavtrade.sk;"0902 558 881"
RELCOM;officekosice@relcom.sk;"0903 796 732"
"Reliart Slovensko, spol. s r.o.";kral@reliart.sk;"0903 85 35 35"
"RENOVIN s.r.o.";projekt@renovin.sk;"0903 527 558"
"RESCON Real Services s. r. o.";rescon@rescon.sk;"+421 903 200 661"
"REWIN reality, s.r.o.";reality@rewin.sk;"0914 345 313"
"Reálne bývanie";aeos@azet.sk;0944704600
"RIDGELINE s.r.o.";reality@drnda.eu;"+421 918 074 173"
"RIVERS REAL ESTATE";office@rivers.sk;"+421 914 11 22 44"
"Rk Ing. Ingrid Ilavská";ingrid.ilavska@rkilavska.sk;"+421 905 618 585
+421 903 244 026
+421 903 430 844"
"RK NITRA s.r.o.";rknitra@rknitra.sk;"0907 355 845"
