Název;E-mail;Telefon
"1  real.sk / 5S-DADO s.r.o.";1realbb@gmail.com;"0904 339 977"
"1 CLICK REALITY";central@1cr.sk;"0903 415 732"
"1 PARTNERS SK s.r.o.";INFO@PARTNERSPRO.SK;"+421 909 202 010"
"1 REAL, s.r.o.";marianloso@gmail.com;"0918 632 976"
"1 REMARCO REAL s.r.o.";uvery@remarco.sk;"0905 619 611"
"1. aukčná, s.r.o.";office@prvaaukcna.sk;"0452 028 945"
"1. BRATISLAVSKÉ CENTRUM REALÍT s. r. o.";info@ebrc.sk;"421 948 678 988"
"1. GEOREAL s. r. o.";vcelareal@gmail.com;"+421 911 088 080"
"1. konsolidačná spol. s r. o.";office@1konsolidacna.sk;"0908 764 499"
"1. Prešovské realitné centrum, s.r.o.";v.kohlerova@gmail.com;"0908 995 527"
"1. realitná a aukčná spoločnosť, s.r.o.";realitna@realitna.sk;"0903 703 850"
"1. REALITNÉ CENTRUM, s. r. o.";mucha.porfi@gmail.com;"0905 801 882"
"1. Reality Rent, s.r.o.";vandlik@reality-rent.sk;"0918 632 975"
"1. RK, spol. s r. o.";info@1rk.sk;"0917 944 191"
"1. Československá realitná, s.r.o.";riaditel@1realitna.eu;"0908 893 333"
1.Alternativa;reality@1alternativa.sk;"0949 436 000"
"1.BCR REAL ESTATE SLOVAKIA";info@1bcr.sk;"+421 901 789 818"
"1.KD reality s.r.o.";info@1kdreality.sk;"0911 743 723"
"1.mestská realitná kancelária s.r.o.";1mrk@1mrk.sk;"0905 715 886"
"1.MP štúdio";petra.leskova@directreal.sk;"421 904 737 007"
"1.NL.spol.s r.o";info@1nlreality.sk;"0905 369 574"
1.REALDOM,s.r.o;info@1realdom.sk;"0907 857 360"
"1.Realitno-stavebná s.r.o.";jaroslavmicenko@pobox.sk;"0918 391 170"
"1.TOP automobile, spol. s r. o.";1topautomobile@gmail.com;"0917 545 287"
"1.VIP REALITY";k.bombiczova@gmail.com;"0915 976 822"
"100pro s. r. o.";info@100proreal.sk;"0917 222 124"
"101 s.r.o.";101reality@gmail.com;"0905 722 870"
"108 REAL ESTATE Slovakia s. r. o.";margita.filadelfiova@108realestate.sk;"0903 765 598"
112reality;jana.moriconi@gmail.com;"0915 959 137"
1Dream;pavel@1dream.sk;"0905 386 288"
"1percent Real Estate s. r. o.";info@1percent.sk;"0944 260 619"
1REALITNA.SK;info@1realitna.sk;"0911 795 703"
"2 Real - realitná kancelária";info@2real.sk;"0905 484 444"
"2% reality s.r.o.";info@2percentareality.sk;"0948 823 223"
"2-izbový byt, Ružomberok, časť Polík";husar@centrum.sk;"0918 894 174"
"212Trade s.r.o";212trade@gmail.com;"0904 823 504"
"22real, s.r.o.";info@22real.sk;"0907 890 851"
"247 Consulting s.r.o.";marek@rosnicka.sk;"0905 382 816"
"24Development, s.r.o.";info@prenajombyty.sk;"0918 776 777"
"2create, s.r.o.";sekretariat@2create.sk;"0915 738 053"
"2create, s.r.o.";marcek@2create.sk;"0905 926 315"
"2Home Reality s. r. o.";reality@2homereality.sk;"+421 944 104 555"
"2inspired s.r.o.";yvette.westrum@gmail.com;"+421 944 353 563"
"2P Invest, s.r.o.";peterjagos@gmail.com;"0908 283 333"
2Real;2realtrebisov@gmail.com;"0907 268 205"
"2T Reality,s.r.o.";homecenter@remax-slovakia.sk;"+421 415 621 010"
"3 - spálňový byt na prenájom";chad.manson@live.com;"648 736 833"
"3 ON REAL s. r. o.";makler@3onreal.sk;"0904 046 056"
"32bit, s.r.o.";office@32bit.sk;"0948 083 872"
"33 Stav, s.r.o.";info@33reality.sk;"0910 663 018"
"365living - Váš nový domov";info@365living.sk;"+421 949 515 132"
"3D Realitná s.r.o.";jan.mokry@3drealitna.sk;"0949 452 306"
"3eSeM, spol. s r.o.";vtikl@3esem.sk;"0948 441 515"
"3KSP Consulting s.r.o.";matouskova.katarina@gmail.com;"0903 707 177"
"3M Development spol. s r.o.";office@3mdevelopment.sk;"0911 017 211"
"3reality, s.r.o.";info@nebytove-priestory.sk;"0253 631 293"
"3RP Reality";info@3rp-reality.sk;"0908 710 962"
"3SK. s.r.o.";peter.svoboda@re-max.sk;"0918 507 995"
"4 Biz Real, s.r.o.";info@4bizreal.sk;"0917 206 825"
"4EVER, s. r. o.";4ever.reality@gmail.com;"0904 260 268"
"4FIN s.r.o.";reality@bfin.sk;"0903 243 199"
"4gamers, s.r.o.";rm01@laborecka.sk;"0951 498 251"
